blockHash	blockNumber	from	gas	gasPrice	hash	input	nonce	r	s	to	transactionIndex	v	value	contextData.timestampMillis	payload.blockHash	payload.blockNumber	payload.from	payload.gas	payload.gasPrice	payload.hash	payload.input	payload.nonce	payload.r	payload.s	payload.to	payload.transactionIndex	payload.v	payload.value	payload.properties.blockHash	payload.properties.blockNumber	payload.properties.from	payload.properties.gas	payload.properties.gasPrice	payload.properties.hash	payload.properties.input	payload.properties.nonce	payload.properties.r	payload.properties.s	payload.properties.to	payload.properties.transactionIndex	payload.properties.v	payload.properties.value	contextData.deviceTemplate	contextData.device	contextData.clientConnection	contextData.clientSession	contextData.user	contextData.timezoneId	contextData.timestamp	contextData.source
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	string	string	string	string	string	string	string
																																											meta	meta	meta	meta	meta	meta	meta	meta
														1570184235781.0	4.6819581205550575e+76	8600000.0	6.550393018401567e+47	120000.0	51000000000.0	9.55490887423823e+76	3.8020752995870066e+163	137873.0	9.070638736990818e+76	4.0383201968620136e+76	1.0508649393907562e+47	2.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235783.0	4.6819581205550575e+76	8600000.0	1.335672815467926e+48	51804.0	41000000000.0	2.989390208341539e+76	3.8020752995870066e+163	14.0	9.184310351149103e+76	3.380565128356842e+76	7.02473997858221e+47	3.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235784.0	4.6819581205550575e+76	8600000.0	6.335893431746244e+47	120000.0	40000000000.0	4.3624433674286174e+76	3.8020752995870066e+163	254891.0	1.3890081433993907e+76	2.5172674123948753e+76	2.3666859133218287e+47	4.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235785.0	4.6819581205550575e+76	8600000.0	6.065516632601268e+47	60000.0	31000000000.0	4.899855008128163e+76	3.8020752995870066e+163	358462.0	1.2527371465674783e+76	5.439267612120976e+76	8.13317876788123e+47	5.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235787.0	4.6819581205550575e+76	8600000.0	4.72335779494254e+47	50000.0	30000000000.0	8.137239105447879e+76		13630525.0	3.7909947537384225e+76	3.023572794302263e+76	1.1052136496673354e+48	6.0	38.0	1.00432262689185e+17																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235789.0	4.6819581205550575e+76	8600000.0	4.72335779494254e+47	50000.0	30000000000.0	4.614274630959111e+76		13630526.0	1.0145289107068689e+77	1.8465567605535844e+76	1.1368375087600484e+48	7.0	38.0	2.00729356707763e+17																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235790.0	4.6819581205550575e+76	8600000.0	2.6189518532574815e+47	80000.0	28000000000.0	1.09768613028515e+77	3.8020752995870066e+163	3.0	9.804174657616476e+75	5.5671948314232886e+76	1.2488751460129641e+48	8.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235791.0	4.6819581205550575e+76	8600000.0	2.668895878185214e+47	100000.0	27000000000.0	7.203607105483414e+76	3.8020752995870066e+163	163980.0	7.899622466482825e+76	3.8082090667693966e+76	1.0747484229214632e+48	9.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235794.0	4.6819581205550575e+76	8600000.0	2.668895878185214e+47	100000.0	27000000000.0	7.762735319263172e+76	3.8020752995870066e+163	163981.0	9.792150782224208e+76	3.357810346281443e+76	1.0747484229214632e+48	10.0	27.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235796.0	4.6819581205550575e+76	8600000.0	2.668895878185214e+47	100000.0	27000000000.0	6.549248369386492e+76	3.8020752995870066e+163	163982.0	1.0598791396977996e+77	2.7465690245539153e+76	1.0747484229214632e+48	11.0	27.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235797.0	4.6819581205550575e+76	8600000.0	2.668895878185214e+47	100000.0	27000000000.0	1.0173305382573405e+77	3.8020752995870066e+163	163983.0	1.0202558939896089e+77	4.734709485121688e+76	1.0747484229214632e+48	12.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235798.0	4.6819581205550575e+76	8600000.0	2.668895878185214e+47	100000.0	27000000000.0	2.748158103334348e+76	3.8020752995870066e+163	163984.0	3.7368831818162464e+76	1.3186173151032561e+76	1.0747484229214632e+48	13.0	27.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235799.0	4.6819581205550575e+76	8600000.0	5.210111697130947e+47	105000.0	21051116859.0	1.0033334804564288e+77		11301.0	5.794740517216571e+76	1.5434328948959142e+76	2.9645782781410846e+47	14.0	38.0	1.0030168294906601e+18																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235800.0	4.6819581205550575e+76	8600000.0	5.117826365211345e+47	121869.0	21000000000.0	1.0068429697532565e+77	3.8020752995870066e+163	717291.0	2.4037892009587186e+76	5.670091685099512e+76	4.343030399650329e+34	15.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235801.0	4.6819581205550575e+76	8600000.0	9.62999602608191e+47	120000.0	21000000000.0	4.6664174295062675e+76	3.8020752995870066e+163	208166.0	5.030470604581343e+76	5.3862381573099136e+76	5.636283767592926e+47	16.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235802.0	4.6819581205550575e+76	8600000.0	1.9262001273109566e+47	60000.0	21000000000.0	6.983105595496136e+76	3.8020752995870066e+163	888.0	4.670291429525109e+76	4.025251144012973e+76	5.224051382173095e+47	17.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235803.0	4.6819581205550575e+76	8600000.0	9.810640678690543e+47	21000.0	21000000000.0	7.509839327988723e+76		5.0	1.0519541177898579e+77	4.71271499207164e+76	1.325142320179308e+48	18.0	37.0	1.79559e+17																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235804.0	4.6819581205550575e+76	8600000.0	7.979173830488058e+47	104738.0	21000000000.0	1.513100398142769e+76		558702.0	2.5020823818734968e+76	3.353233501718668e+76	6.9388190708734744e+47	19.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235805.0	4.6819581205550575e+76	8600000.0	2.47454164316291e+47	54508.0	21000000000.0	7.339456220286617e+76	2509543862.0	39.0	9.414706090730335e+76	4.319372375281147e+76	8.769009772425075e+47	20.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235806.0	4.6819581205550575e+76	8600000.0	1.369442640522047e+47	76802.0	20000000000.0	1.1390282434555429e+77	3.8020752995870066e+163	466.0	1.1202355876603632e+77	8.442360698486892e+75	1.2488751460129641e+48	21.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235807.0	4.6819581205550575e+76	8600000.0	1.2618985554665682e+47	72940.0	20000000000.0	1.0964233458936279e+77	3.8020752995870066e+163	5970.0	9.570099117789402e+76	4.859252128624187e+76	5.10067084520642e+47	22.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235808.0	4.6819581205550575e+76	8600000.0	1.1850991289055146e+48	79500.0	13200000000.0	7.557791576054973e+76	3.8020752995870066e+163	24.0	4.702463190609059e+76	7.017623017838519e+75	2.6488556574578344e+47	23.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235809.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	2900956.0	11300000000.0	7.571471289368282e+76	4.6254982140186554e+240	25180.0	3.8368370316992586e+76	5.075433523496768e+76	1.0945156095205665e+46	24.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235810.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	29544.0	11300000000.0	9.281359636247946e+76	4.6254982140186554e+240	25181.0	8.100779892842074e+76	1.0882439245792463e+75	1.0945156095205665e+46	25.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235811.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	2798220.0	11300000000.0	7.355770645984887e+76	4.6254982140186554e+240	25182.0	8.941176186802894e+76	3.236734346244388e+76	1.0945156095205665e+46	26.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235813.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	29544.0	11300000000.0	1.970591604989643e+76	4.6254982140186554e+240	25183.0	6.047765850219961e+76	1.1336301382302488e+76	1.0945156095205665e+46	27.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235814.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	29544.0	11300000000.0	3.003408883118781e+76	4.6254982140186554e+240	25184.0	8.316269141661629e+76	5.079474219359524e+76	1.0945156095205665e+46	28.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235815.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	2798220.0	11300000000.0	1.1417809056979288e+77	4.6254982140186554e+240	25185.0	9.233666802227338e+76	3.9589420462878664e+76	1.0945156095205665e+46	29.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235816.0	4.6819581205550575e+76	8600000.0	1.1900601537521425e+48	47585.0	10100000000.0	5.1162544391348766e+76	2.1076840635933702e+162	36.0	1.1013270743827771e+77	7.291219840384372e+75	7.868213749160055e+47	30.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235817.0	4.6819581205550575e+76	8600000.0	5.422838212213673e+47	21000.0	10000000000.0	4.7102029351431553e+76		8.0	7.773496981660646e+76	1.4966419384559045e+76	1.2144635216577334e+48	31.0	28.0	7000000000000000.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235818.0	4.6819581205550575e+76	8600000.0	9.456310645200049e+47	90000.0	8800000000.0	1.1550742312956861e+77	3.8020752995870066e+163	33307.0	1.141962966211087e+77	1.815480092543652e+76	1.2712140204890886e+48	32.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235820.0	4.6819581205550575e+76	8600000.0	1.2503414092305979e+48	90000.0	8800000000.0	2.8318613357287575e+76	3.8020752995870066e+163	11634.0	6.9518973961328e+75	4.460174387833253e+76	4.191322364908842e+47	34.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184235821.0	4.6819581205550575e+76	8600000.0	5.62485593009239e+47	53465.0	8000000000.0	1.2362879141540475e+76	3.8020752995870066e+163	183.0	6.084317930930207e+76	3.308247253842745e+76	1.2488751460129641e+48	35.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:17:15Z	FLOWENGINE
														1570184383044.0	4.6819581205550575e+76	8600000.0	4.38767000528438e+47	400000.0	182000000000.0	6.593782700874983e+76		7.0	8.321720565170456e+76	4.191423977239722e+76	1.0410010685163678e+48	0.0	38.0	1.058e+16																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383046.0	4.6819581205550575e+76	8600000.0	2.3377658057320946e+47	90000.0	71000000000.0	1.7643960046935072e+76		1350.0	1.2878767303424402e+76	5.0570926904185555e+76	8.647271908458368e+47	1.0	37.0	7.271171e+16																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383047.0	4.6819581205550575e+76	8600000.0	6.550393018401567e+47	120000.0	51000000000.0	9.55490887423823e+76	3.8020752995870066e+163	137873.0	9.070638736990818e+76	4.0383201968620136e+76	1.0508649393907562e+47	2.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383048.0	4.6819581205550575e+76	8600000.0	1.335672815467926e+48	51804.0	41000000000.0	2.989390208341539e+76	3.8020752995870066e+163	14.0	9.184310351149103e+76	3.380565128356842e+76	7.02473997858221e+47	3.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383049.0	4.6819581205550575e+76	8600000.0	6.335893431746244e+47	120000.0	40000000000.0	4.3624433674286174e+76	3.8020752995870066e+163	254891.0	1.3890081433993907e+76	2.5172674123948753e+76	2.3666859133218287e+47	4.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383050.0	4.6819581205550575e+76	8600000.0	6.065516632601268e+47	60000.0	31000000000.0	4.899855008128163e+76	3.8020752995870066e+163	358462.0	1.2527371465674783e+76	5.439267612120976e+76	8.13317876788123e+47	5.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383051.0	4.6819581205550575e+76	8600000.0	4.72335779494254e+47	50000.0	30000000000.0	8.137239105447879e+76		13630525.0	3.7909947537384225e+76	3.023572794302263e+76	1.1052136496673354e+48	6.0	38.0	1.00432262689185e+17																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383052.0	4.6819581205550575e+76	8600000.0	4.72335779494254e+47	50000.0	30000000000.0	4.614274630959111e+76		13630526.0	1.0145289107068689e+77	1.8465567605535844e+76	1.1368375087600484e+48	7.0	38.0	2.00729356707763e+17																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383053.0	4.6819581205550575e+76	8600000.0	2.6189518532574815e+47	80000.0	28000000000.0	1.09768613028515e+77	3.8020752995870066e+163	3.0	9.804174657616476e+75	5.5671948314232886e+76	1.2488751460129641e+48	8.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383054.0	4.6819581205550575e+76	8600000.0	2.668895878185214e+47	100000.0	27000000000.0	7.203607105483414e+76	3.8020752995870066e+163	163980.0	7.899622466482825e+76	3.8082090667693966e+76	1.0747484229214632e+48	9.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383055.0	4.6819581205550575e+76	8600000.0	2.668895878185214e+47	100000.0	27000000000.0	7.762735319263172e+76	3.8020752995870066e+163	163981.0	9.792150782224208e+76	3.357810346281443e+76	1.0747484229214632e+48	10.0	27.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383056.0	4.6819581205550575e+76	8600000.0	2.668895878185214e+47	100000.0	27000000000.0	6.549248369386492e+76	3.8020752995870066e+163	163982.0	1.0598791396977996e+77	2.7465690245539153e+76	1.0747484229214632e+48	11.0	27.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383057.0	4.6819581205550575e+76	8600000.0	2.668895878185214e+47	100000.0	27000000000.0	1.0173305382573405e+77	3.8020752995870066e+163	163983.0	1.0202558939896089e+77	4.734709485121688e+76	1.0747484229214632e+48	12.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383058.0	4.6819581205550575e+76	8600000.0	2.668895878185214e+47	100000.0	27000000000.0	2.748158103334348e+76	3.8020752995870066e+163	163984.0	3.7368831818162464e+76	1.3186173151032561e+76	1.0747484229214632e+48	13.0	27.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383059.0	4.6819581205550575e+76	8600000.0	5.210111697130947e+47	105000.0	21051116859.0	1.0033334804564288e+77		11301.0	5.794740517216571e+76	1.5434328948959142e+76	2.9645782781410846e+47	14.0	38.0	1.0030168294906601e+18																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383060.0	4.6819581205550575e+76	8600000.0	5.117826365211345e+47	121869.0	21000000000.0	1.0068429697532565e+77	3.8020752995870066e+163	717291.0	2.4037892009587186e+76	5.670091685099512e+76	4.343030399650329e+34	15.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383061.0	4.6819581205550575e+76	8600000.0	9.62999602608191e+47	120000.0	21000000000.0	4.6664174295062675e+76	3.8020752995870066e+163	208166.0	5.030470604581343e+76	5.3862381573099136e+76	5.636283767592926e+47	16.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383062.0	4.6819581205550575e+76	8600000.0	1.9262001273109566e+47	60000.0	21000000000.0	6.983105595496136e+76	3.8020752995870066e+163	888.0	4.670291429525109e+76	4.025251144012973e+76	5.224051382173095e+47	17.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383063.0	4.6819581205550575e+76	8600000.0	9.810640678690543e+47	21000.0	21000000000.0	7.509839327988723e+76		5.0	1.0519541177898579e+77	4.71271499207164e+76	1.325142320179308e+48	18.0	37.0	1.79559e+17																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383064.0	4.6819581205550575e+76	8600000.0	7.979173830488058e+47	104738.0	21000000000.0	1.513100398142769e+76		558702.0	2.5020823818734968e+76	3.353233501718668e+76	6.9388190708734744e+47	19.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383065.0	4.6819581205550575e+76	8600000.0	2.47454164316291e+47	54508.0	21000000000.0	7.339456220286617e+76	2509543862.0	39.0	9.414706090730335e+76	4.319372375281147e+76	8.769009772425075e+47	20.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383066.0	4.6819581205550575e+76	8600000.0	1.369442640522047e+47	76802.0	20000000000.0	1.1390282434555429e+77	3.8020752995870066e+163	466.0	1.1202355876603632e+77	8.442360698486892e+75	1.2488751460129641e+48	21.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383067.0	4.6819581205550575e+76	8600000.0	1.2618985554665682e+47	72940.0	20000000000.0	1.0964233458936279e+77	3.8020752995870066e+163	5970.0	9.570099117789402e+76	4.859252128624187e+76	5.10067084520642e+47	22.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383068.0	4.6819581205550575e+76	8600000.0	1.1850991289055146e+48	79500.0	13200000000.0	7.557791576054973e+76	3.8020752995870066e+163	24.0	4.702463190609059e+76	7.017623017838519e+75	2.6488556574578344e+47	23.0	28.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383069.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	2900956.0	11300000000.0	7.571471289368282e+76	4.6254982140186554e+240	25180.0	3.8368370316992586e+76	5.075433523496768e+76	1.0945156095205665e+46	24.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383070.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	29544.0	11300000000.0	9.281359636247946e+76	4.6254982140186554e+240	25181.0	8.100779892842074e+76	1.0882439245792463e+75	1.0945156095205665e+46	25.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383071.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	2798220.0	11300000000.0	7.355770645984887e+76	4.6254982140186554e+240	25182.0	8.941176186802894e+76	3.236734346244388e+76	1.0945156095205665e+46	26.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383072.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	29544.0	11300000000.0	1.970591604989643e+76	4.6254982140186554e+240	25183.0	6.047765850219961e+76	1.1336301382302488e+76	1.0945156095205665e+46	27.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383073.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	29544.0	11300000000.0	3.003408883118781e+76	4.6254982140186554e+240	25184.0	8.316269141661629e+76	5.079474219359524e+76	1.0945156095205665e+46	28.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383073.0	4.6819581205550575e+76	8600000.0	8.908239808830848e+47	2798220.0	11300000000.0	1.1417809056979288e+77	4.6254982140186554e+240	25185.0	9.233666802227338e+76	3.9589420462878664e+76	1.0945156095205665e+46	29.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383074.0	4.6819581205550575e+76	8600000.0	1.1900601537521425e+48	47585.0	10100000000.0	5.1162544391348766e+76	2.1076840635933702e+162	36.0	1.1013270743827771e+77	7.291219840384372e+75	7.868213749160055e+47	30.0	37.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383075.0	4.6819581205550575e+76	8600000.0	5.422838212213673e+47	21000.0	10000000000.0	4.7102029351431553e+76		8.0	7.773496981660646e+76	1.4966419384559045e+76	1.2144635216577334e+48	31.0	28.0	7000000000000000.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383076.0	4.6819581205550575e+76	8600000.0	9.456310645200049e+47	90000.0	8800000000.0	1.1550742312956861e+77	3.8020752995870066e+163	33307.0	1.141962966211087e+77	1.815480092543652e+76	1.2712140204890886e+48	32.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383078.0	4.6819581205550575e+76	8600000.0	1.2503414092305979e+48	90000.0	8800000000.0	2.8318613357287575e+76	3.8020752995870066e+163	11634.0	6.9518973961328e+75	4.460174387833253e+76	4.191322364908842e+47	34.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184383079.0	4.6819581205550575e+76	8600000.0	5.62485593009239e+47	53465.0	8000000000.0	1.2362879141540475e+76	3.8020752995870066e+163	183.0	6.084317930930207e+76	3.308247253842745e+76	1.2488751460129641e+48	35.0	38.0	0.0																			gjuan	UTC	2019-10-04T10:19:43Z	FLOWENGINE
														1570184482571.0															4.6819581205550575e+76	8600000.0	4.38767000528438e+47	400000.0	182000000000.0	6.593782700874983e+76		7.0	8.321720565170456e+76	4.191423977239722e+76	1.0410010685163678e+48	0.0	38.0	1.058e+16					gjuan	UTC	2019-10-04T10:21:22Z	FLOWENGINE
														1570184482572.0															4.6819581205550575e+76	8600000.0	2.3377658057320946e+47	90000.0	71000000000.0	1.7643960046935072e+76		1350.0	1.2878767303424402e+76	5.0570926904185555e+76	8.647271908458368e+47	1.0	37.0	7.271171e+16					gjuan	UTC	2019-10-04T10:21:22Z	FLOWENGINE
														1570184482573.0															4.6819581205550575e+76	8600000.0	6.550393018401567e+47	120000.0	51000000000.0	9.55490887423823e+76	3.8020752995870066e+163	137873.0	9.070638736990818e+76	4.0383201968620136e+76	1.0508649393907562e+47	2.0	28.0	0.0					gjuan	UTC	2019-10-04T10:21:22Z	FLOWENGINE
														1570184482574.0															4.6819581205550575e+76	8600000.0	1.335672815467926e+48	51804.0	41000000000.0	2.989390208341539e+76	3.8020752995870066e+163	14.0	9.184310351149103e+76	3.380565128356842e+76	7.02473997858221e+47	3.0	38.0	0.0					gjuan	UTC	2019-10-04T10:21:22Z	FLOWENGINE
														1570184482575.0															4.6819581205550575e+76	8600000.0	6.335893431746244e+47	120000.0	40000000000.0	4.3624433674286174e+76	3.8020752995870066e+163	254891.0	1.3890081433993907e+76	2.5172674123948753e+76	2.3666859133218287e+47	4.0	37.0	0.0					gjuan	UTC	2019-10-04T10:21:22Z	FLOWENGINE
